carat,depth,table,x,y,z,price,cut,color,clarity
0.72,63.7,57.0,5.66,5.7,3.62,2168.0,Very Good,H,SI1
1.16,61.3,55.0,6.79,6.84,4.18,4425.0,Ideal,G,SI2
0.5,62.9,59.0,5.06,5.09,3.19,1624.0,Very Good,E,VS2
0.77,60.3,61.0,5.89,5.96,3.57,2911.0,Good,F,VS2
0.24,63.6,54.0,3.96,4.0,2.53,485.0,Very Good,E,VVS2
0.52,62.2,55.0,5.14,5.18,3.21,2783.0,Ideal,F,IF
0.27,62.2,59.0,4.08,4.12,2.55,622.0,Very Good,D,VVS2
1.0,63.7,57.0,6.32,6.28,4.01,5484.0,Good,G,VS2
1.09,62.0,56.0,6.61,6.56,4.08,5768.0,Ideal,F,SI1
1.63,61.3,56.0,7.64,7.56,4.66,9694.0,Ideal,I,SI1
0.6,60.8,58.0,5.46,5.5,3.33,1625.0,Premium,E,SI1
1.52,61.9,57.0,7.33,7.37,4.55,7356.0,Ideal,J,SI1
0.58,61.8,55.0,5.39,5.35,3.32,2192.0,Premium,E,VS1
1.55,62.0,62.0,7.33,7.47,4.59,8644.0,Very Good,I,SI1
0.3,60.8,56.0,4.35,4.36,2.65,892.0,Ideal,F,IF
0.24,62.4,58.0,3.94,4.01,2.48,552.0,Very Good,D,VVS2
0.5,62.0,56.0,5.09,5.12,3.16,1178.0,Ideal,H,SI1
1.01,61.2,57.0,6.47,6.44,3.95,5543.0,Ideal,D,SI1
0.91,63.5,56.0,6.13,6.18,3.91,4389.0,Very Good,D,SI1
0.33,60.9,58.0,4.5,4.46,2.73,743.0,Premium,E,SI1
1.01,62.6,58.0,6.37,6.44,4.01,11387.0,Premium,E,IF
1.29,58.2,61.0,7.07,7.12,4.13,5898.0,Good,J,VS2
0.75,60.2,57.0,5.93,5.9,3.56,3136.0,Ideal,E,VS2
0.34,60.5,55.0,4.53,4.56,2.75,844.0,Ideal,G,VVS1
1.5,63.6,58.0,7.25,7.18,4.59,6421.0,Good,J,SI2
0.52,61.2,56.0,5.16,5.23,3.18,1689.0,Ideal,E,VS2
0.38,61.7,56.0,4.65,4.68,2.88,680.0,Very Good,I,VS2
0.32,61.4,56.0,4.42,4.44,2.72,575.0,Ideal,I,VVS1
0.75,61.6,55.0,5.82,5.86,3.6,2902.0,Ideal,G,SI1
0.9,64.5,60.0,6.03,6.07,3.9,4268.0,Good,F,VS2
0.72,63.4,56.0,5.67,5.72,3.61,1907.0,Very Good,I,SI2
2.05,62.0,58.0,8.13,8.08,5.02,9850.0,Premium,I,SI2
1.2,64.2,60.0,6.68,6.62,4.27,6182.0,Good,H,SI1
1.1,60.4,60.0,6.72,6.68,4.05,5056.0,Premium,H,SI1
2.0,60.9,54.0,8.12,8.17,4.96,10907.0,Very Good,J,SI2
0.73,61.1,59.0,5.79,5.86,3.56,4116.0,Very Good,D,VS1
1.5,62.2,54.0,7.33,7.4,4.57,10406.0,Ideal,I,VS1
1.12,61.2,63.0,6.68,6.59,4.05,3017.0,Very Good,G,I1
0.32,62.3,56.0,4.39,4.37,2.73,828.0,Ideal,G,VS1
0.74,61.3,61.0,5.8,5.84,3.57,2775.0,Very Good,F,VS2
0.3,60.8,57.0,4.33,4.35,2.64,742.0,Ideal,E,VVS2
1.54,62.0,59.0,7.33,7.38,4.56,8254.0,Ideal,I,SI2
0.31,62.1,55.0,4.32,4.38,2.7,636.0,Ideal,D,VS2
1.13,60.6,58.0,6.81,6.72,4.1,5885.0,Premium,H,VS2
1.08,58.6,60.0,6.84,6.78,3.99,5818.0,Premium,H,VS1
0.75,62.3,58.0,5.78,5.81,3.61,2702.0,Good,E,SI2
0.72,60.8,59.0,5.74,5.77,3.55,2550.0,Very Good,H,VS2
0.37,60.9,57.0,4.63,4.67,2.83,552.0,Ideal,H,SI1
0.79,62.2,57.0,5.89,5.94,3.68,2958.0,Ideal,I,VS1
0.63,61.9,55.0,5.46,5.5,3.4,2565.0,Ideal,E,VS1
0.67,59.9,57.4,5.69,5.75,3.42,2309.0,Very Good,G,VS1
0.51,61.8,54.0,5.15,5.18,3.19,1632.0,Ideal,F,VS1
0.91,62.5,61.0,6.1,6.19,3.84,4512.0,Very Good,E,SI1
1.02,62.8,55.0,6.4,6.43,4.03,4398.0,Very Good,E,SI2
1.07,62.0,58.0,6.59,6.53,4.07,6730.0,Premium,G,VS1
1.01,63.1,58.0,6.34,6.38,4.01,7448.0,Very Good,D,VS2
1.01,63.3,58.0,6.37,6.4,4.04,4559.0,Good,H,SI1
1.12,62.0,56.0,6.69,6.64,4.13,6774.0,Ideal,G,VS2
0.48,61.9,55.0,5.02,5.06,3.12,1615.0,Ideal,G,VS1
0.3,62.2,57.0,4.28,4.3,2.67,764.0,Ideal,G,VVS1
0.41,62.3,57.0,4.75,4.78,2.97,683.0,Ideal,D,SI2
1.02,60.8,55.0,6.55,6.5,3.97,8818.0,Ideal,D,VS1
0.4,62.4,60.0,4.66,4.67,2.91,845.0,Very Good,D,VS2
0.55,61.5,56.0,5.23,5.27,3.23,2815.0,Very Good,D,VVS1
0.38,62.0,54.0,4.66,4.72,2.91,671.0,Ideal,H,SI1
0.3,61.8,56.0,4.31,4.33,2.67,886.0,Ideal,F,IF
0.4,62.6,58.0,4.72,4.68,2.94,1080.0,Premium,F,VS2
0.31,61.5,59.0,4.35,4.37,2.68,408.0,Premium,I,SI1
0.37,59.7,59.0,4.64,4.68,2.78,746.0,Premium,F,VS2
0.3,62.9,59.0,4.3,4.26,2.69,608.0,Premium,H,VS2
0.57,61.7,56.0,5.31,5.33,3.28,2091.0,Ideal,D,VS1
1.05,63.2,59.0,6.43,6.36,4.04,4281.0,Very Good,E,SI2
1.22,61.5,58.0,6.86,6.84,4.21,6121.0,Premium,E,SI2
0.72,61.1,60.0,5.72,5.76,3.51,2705.0,Good,F,VS2
0.4,60.8,56.0,4.78,4.82,2.92,1133.0,Very Good,D,VVS2
0.6,60.2,57.0,5.49,5.54,3.32,2109.0,Ideal,G,VS1
1.0,63.4,55.0,6.3,6.38,4.02,4033.0,Very Good,F,SI2
0.76,61.6,56.0,5.85,5.9,3.62,3864.0,Ideal,E,VS2
0.59,62.3,54.0,5.41,5.38,3.36,1912.0,Premium,D,SI1
0.7,59.1,58.0,5.85,5.83,3.45,2362.0,Premium,F,SI2
0.3,59.1,59.0,4.38,4.35,2.58,608.0,Premium,I,VS1
1.01,62.8,59.0,6.41,6.45,4.04,5416.0,Very Good,E,SI1
1.52,62.0,60.0,7.31,7.37,4.55,8620.0,Ideal,H,SI2
1.1,63.0,56.0,6.59,6.55,4.14,5073.0,Very Good,E,SI2
0.9,62.9,57.0,6.11,6.17,3.86,3510.0,Very Good,E,SI1
0.81,59.9,61.0,6.08,6.05,3.63,2559.0,Premium,E,SI2
1.04,58.9,58.0,6.66,6.69,3.93,6138.0,Very Good,D,SI1
0.33,62.4,56.0,4.43,4.41,2.76,743.0,Ideal,I,VVS2
0.74,62.0,56.0,5.79,5.82,3.6,2947.0,Ideal,I,VS1
0.31,60.6,56.0,4.39,4.42,2.67,680.0,Ideal,F,VS1
0.34,63.1,57.0,4.44,4.4,2.79,765.0,Very Good,H,VS1
1.01,60.7,57.0,6.42,6.46,3.91,4004.0,Very Good,F,SI2
0.72,61.7,56.0,5.75,5.78,3.56,3478.0,Ideal,G,VS1
0.5,62.8,60.0,5.02,5.08,3.17,1559.0,Very Good,E,VS2
0.62,61.6,56.0,5.45,5.48,3.37,2861.0,Ideal,G,VVS2
1.01,63.0,57.0,6.39,6.34,4.01,4559.0,Ideal,F,SI1
0.7,61.9,57.0,5.68,5.71,3.53,3127.0,Very Good,G,VS1
1.02,62.3,59.0,6.38,6.42,3.99,5890.0,Premium,D,SI1
0.92,62.5,59.0,6.24,6.14,3.87,5028.0,Premium,D,SI1
0.31,62.0,56.0,4.37,4.34,2.7,982.0,Ideal,D,VVS2
1.51,62.8,60.0,7.22,7.26,4.55,7929.0,Good,H,SI2
1.12,61.3,55.0,6.74,6.7,4.12,4990.0,Ideal,G,SI2
1.56,60.7,59.0,7.55,7.45,4.55,11901.0,Premium,F,SI1
1.28,62.3,58.0,7.0,6.94,4.34,6946.0,Premium,H,SI1
1.24,62.1,56.0,6.87,6.91,4.28,8504.0,Ideal,G,VS2
0.35,62.0,57.0,4.55,4.51,2.81,984.0,Ideal,E,VS2
1.0,65.3,56.0,6.19,6.24,4.06,7226.0,Good,E,VVS2
1.01,61.6,55.0,6.45,6.5,3.99,3732.0,Ideal,J,SI2
1.0,60.7,59.0,6.38,6.44,3.89,4311.0,Very Good,E,SI2
1.11,62.2,54.0,6.64,6.68,4.14,5006.0,Ideal,I,SI1
1.51,61.2,58.0,7.4,7.36,4.52,11188.0,Premium,H,VS2
1.24,61.5,57.0,6.97,6.86,4.25,9333.0,Premium,F,VS1
0.72,61.0,59.0,5.73,5.78,3.51,3084.0,Very Good,E,SI2
0.77,62.6,57.0,5.92,5.81,3.67,2898.0,Ideal,D,SI1
1.27,62.9,57.0,6.86,6.91,4.3,8941.0,Very Good,G,VVS2
0.7,60.5,56.0,5.8,5.77,3.5,2375.0,Ideal,E,SI2
0.59,62.2,59.0,5.38,5.34,3.33,1648.0,Ideal,H,VS2
0.37,61.0,56.0,4.64,4.67,2.84,762.0,Ideal,E,VS2
0.36,60.3,57.0,4.61,4.65,2.79,1063.0,Ideal,F,IF
1.1,59.5,59.0,6.77,6.7,4.01,5821.0,Premium,F,SI1
0.72,62.6,54.0,5.78,5.72,3.6,3048.0,Premium,D,SI1
0.41,60.9,57.0,4.79,4.84,2.93,827.0,Ideal,G,VS2
0.42,60.0,57.0,4.86,4.84,2.91,1235.0,Ideal,G,VVS1
1.51,60.2,62.0,7.43,7.38,4.46,7340.0,Premium,H,SI2
1.07,62.4,55.0,6.53,6.57,4.09,7483.0,Ideal,F,VS2
1.03,62.2,57.0,6.5,6.46,4.03,3997.0,Ideal,I,SI2
0.32,62.8,58.0,4.33,4.37,2.73,449.0,Very Good,I,VS2
1.23,61.2,57.0,6.89,6.86,4.21,5373.0,Premium,H,SI2
0.41,60.6,58.0,4.79,4.84,2.92,1115.0,Premium,F,VVS2
0.31,62.0,58.0,4.3,4.35,2.68,571.0,Premium,D,SI1
1.25,63.3,56.0,6.87,6.83,4.34,5292.0,Ideal,I,SI2
0.52,63.0,55.0,5.12,5.14,3.23,1049.0,Very Good,G,SI2
1.1,62.0,58.0,6.59,6.64,4.1,8060.0,Ideal,G,VS1
0.3,61.9,57.0,4.28,4.31,2.66,422.0,Ideal,G,SI2
0.7,62.1,59.0,5.68,5.72,3.54,2196.0,Premium,F,SI1
0.52,61.4,57.0,5.27,5.16,3.2,1577.0,Premium,H,VS1
0.54,59.0,62.0,5.3,5.28,3.12,1640.0,Good,G,VS1
1.05,62.2,54.0,6.52,6.56,4.07,4667.0,Ideal,G,SI2
0.43,62.4,57.0,4.79,4.82,3.0,792.0,Very Good,F,SI1
1.5,61.2,61.0,7.32,7.25,4.46,10478.0,Premium,H,VS2
0.51,61.7,58.0,5.1,5.13,3.12,1343.0,Very Good,E,SI1
0.37,61.8,55.0,4.62,4.64,2.86,745.0,Ideal,G,SI1
0.32,62.2,54.0,4.42,4.45,2.73,516.0,Ideal,E,SI1
0.31,61.4,59.0,4.35,4.38,2.68,625.0,Premium,H,VVS2
1.1,62.6,57.0,6.6,6.56,4.12,4435.0,Premium,H,SI2
1.53,61.5,59.0,7.39,7.32,4.52,8911.0,Premium,I,SI1
1.0,60.6,59.0,6.42,6.36,3.87,6451.0,Premium,G,VS2
0.4,63.0,57.0,4.66,4.7,2.95,720.0,Very Good,D,SI1
1.37,63.0,57.0,7.11,7.05,4.46,5831.0,Ideal,J,VS2
1.04,62.0,57.0,6.47,6.5,4.02,4530.0,Ideal,E,SI1
0.46,61.3,57.0,4.99,5.02,3.07,1081.0,Very Good,E,VS2
0.9,63.3,59.0,6.12,6.17,3.89,4981.0,Very Good,D,VS2
1.21,62.379999999999995,59.0,6.77,6.67,4.21,4884.0,Premium,I,VS2
1.01,59.2,57.0,6.58,6.44,3.85,2017.0,Premium,I,I1
1.23,61.3,58.0,6.87,6.89,4.22,8759.0,Premium,G,VS1
1.51,62.7,55.0,7.27,7.18,4.53,7272.0,Ideal,E,SI2
0.46,62.5,57.0,4.89,4.94,3.07,1441.0,Ideal,G,IF
0.43,61.6,56.0,4.86,4.82,2.98,1036.0,Ideal,D,SI1
0.34,61.3,55.0,4.49,4.52,2.76,454.0,Ideal,E,SI2
1.31,59.2,59.0,7.12,7.18,4.23,11459.0,Ideal,G,VVS2
0.36,61.3,60.0,4.59,4.52,2.79,541.0,Premium,J,SI1
0.7,64.3,56.0,5.62,5.57,3.6,1442.0,Good,J,SI1
0.78,61.5,60.0,5.86,5.92,3.62,3898.0,Very Good,E,VS1
0.31,61.5,55.0,4.41,4.37,2.7,872.0,Ideal,E,VS2
0.43,62.0,55.0,4.85,4.82,3.0,1264.0,Ideal,G,VVS1
0.34,60.4,57.0,4.53,4.55,2.74,723.0,Ideal,E,SI1
0.34,59.1,57.0,4.66,4.61,2.74,1071.0,Ideal,F,VVS2
0.4,60.9,55.0,4.82,4.79,2.93,873.0,Ideal,G,SI1
1.12,61.2,59.0,6.69,6.65,4.08,4641.0,Premium,H,SI1
0.3,62.8,56.0,4.29,4.31,2.7,605.0,Very Good,F,VS2
0.53,62.0,56.0,5.16,5.2,3.21,1739.0,Ideal,E,VS2
0.32,61.9,55.0,4.38,4.41,2.72,954.0,Ideal,E,VVS1
0.32,61.8,56.0,4.45,4.42,2.74,990.0,Ideal,F,VVS1
1.27,62.1,56.0,6.96,6.92,4.31,5249.0,Ideal,I,SI2
0.29,61.8,56.0,4.23,4.26,2.62,435.0,Ideal,J,VS1
0.31,61.1,58.0,4.35,4.32,2.65,1046.0,Premium,G,VVS1
0.32,61.7,59.0,4.41,4.37,2.71,936.0,Premium,G,VVS2
1.01,62.8,60.0,6.4,6.34,4.0,9667.0,Very Good,F,VVS1
0.31,63.0,58.0,4.33,4.37,2.74,707.0,Very Good,H,VVS1
0.3,63.4,57.0,4.27,4.31,2.72,421.0,Good,H,SI1
1.52,61.4,54.0,7.51,7.43,4.59,10308.0,Premium,D,SI2
0.43,61.4,55.0,4.86,4.91,3.0,1207.0,Ideal,G,VVS1
1.03,61.8,59.0,6.47,6.42,3.98,4845.0,Premium,E,SI2
0.3,60.8,57.0,4.38,4.33,2.65,630.0,Ideal,G,VS2
1.04,61.6,57.0,6.47,6.51,4.0,10804.0,Ideal,F,VVS2
0.49,61.3,57.0,5.21,5.02,3.14,1444.0,Premium,D,SI1
0.63,63.1,58.0,5.42,5.46,3.43,2157.0,Very Good,G,VS1
0.24,61.5,56.0,3.99,4.01,2.46,449.0,Very Good,H,VVS2
1.03,62.5,59.0,6.41,6.45,4.02,4282.0,Very Good,F,SI1
0.3,60.0,60.0,4.38,4.36,2.62,675.0,Premium,E,SI1
1.01,63.3,58.0,6.39,6.31,4.02,8912.0,Very Good,E,VVS2
0.31,61.7,55.0,4.38,4.41,2.71,642.0,Ideal,E,VS2
0.52,62.0,57.0,5.15,5.17,3.2,3218.0,Ideal,D,VVS1
