carat,depth,table,x,y,z,price,cut,color,clarity
0.34,61.2,57.0,4.56,4.53,2.78,650.0,Ideal,G,SI1
0.4,62.9,57.0,4.72,4.69,2.96,1080.0,Ideal,F,VS2
0.31,61.9,56.0,4.38,4.35,2.7,595.0,Ideal,H,SI1
0.43,62.5,58.0,4.85,4.78,3.01,1129.0,Premium,F,VS1
1.14,61.4,60.0,6.71,6.68,4.11,7079.0,Premium,G,VS2
0.27,61.5,58.0,4.22,4.17,2.58,603.0,Premium,E,VS1
0.57,61.1,55.0,5.36,5.44,3.3,3057.0,Ideal,F,VVS1
0.7,58.4,59.0,5.91,5.83,3.43,2854.0,Premium,E,VS1
1.68,62.1,57.0,7.6,7.54,4.7,10800.0,Ideal,I,VS2
0.9,63.5,58.0,6.08,6.17,3.89,3918.0,Very Good,D,SI2
1.51,61.7,61.0,7.3,7.35,4.52,9218.0,Very Good,H,SI1
0.5,63.9,57.0,5.02,5.06,3.22,1197.0,Good,G,SI1
0.31,61.1,55.0,4.37,4.4,2.68,774.0,Ideal,D,VS1
0.23,60.0,56.0,4.03,4.07,2.43,530.0,Very Good,E,VVS2
0.3,62.7,57.0,4.26,4.29,2.68,684.0,Ideal,G,VVS2
0.31,61.3,56.0,4.38,4.4,2.69,1105.0,Ideal,E,VVS1
0.92,60.9,61.0,6.22,6.25,3.8,5453.0,Very Good,E,VS1
1.24,61.2,57.0,7.02,6.87,4.25,5694.0,Premium,H,SI2
0.9,61.7,57.0,6.21,6.24,3.84,4940.0,Ideal,E,SI1
1.2,62.2,59.0,6.82,6.78,4.23,8602.0,Premium,E,VS2
1.19,60.8,59.0,6.84,6.81,4.15,9524.0,Ideal,G,VVS2
0.24,61.4,57.0,4.02,4.04,2.47,449.0,Very Good,H,VVS2
1.7,60.5,57.0,7.74,7.84,4.71,8505.0,Ideal,J,SI2
0.9,62.5,56.0,6.15,6.2,3.86,3521.0,Ideal,G,SI2
1.21,62.2,58.0,6.83,6.8,4.24,8446.0,Premium,H,IF
0.32,60.9,58.0,4.42,4.45,2.7,564.0,Very Good,G,VS2
0.71,61.64,58.0,5.71,5.67,3.57,2879.0,Premium,F,VS1
0.7,63.8,60.0,5.59,5.51,3.54,2083.0,Good,H,VS2
1.83,62.9,55.0,7.9,7.78,4.93,11883.0,Premium,I,SI1
1.51,61.6,59.0,7.32,7.3,4.5,10739.0,Premium,G,SI1
1.02,62.9,59.0,6.4,6.38,4.02,4370.0,Premium,G,SI2
0.96,65.2,58.0,6.14,6.12,3.99,3688.0,Fair,F,SI2
1.24,61.1,60.0,6.94,6.91,4.23,5976.0,Ideal,I,SI1
1.04,61.3,56.0,6.55,6.5,4.0,5882.0,Ideal,F,SI1
